IAU_number,IAU_name,Provisional_designation,Year_discovered,Discoverer,References 
I,Io,,1610,Galileo,IAU WGPSN
II,Europa,,1610,Galileo,IAU WGPSN
III,Ganymede,,1610,Galileo,IAU WGPSN
IV,Callisto,,1610,Galileo,IAU WGPSN
V,Amalthea,,1892,E.E. Barnard,IAU WGPSN
VI,Himalia,,1904,C.D. Perrine,IAU WGPSN
VII,Elara,,1905,C.D. Perrine,IAU WGPSN
VIII,Pasiphae,,1908,P.J. Melotte,IAU WGPSN
IX,Sinope,,1914,S.B. Nicholson,IAU WGPSN
X,Lysithea,,1938,S.B. Nicholson,IAU WGPSN
XI,Carme,,1938,S.B. Nicholson,IAU WGPSN
XII,Ananke,,1951,S.B. Nicholson,IAU WGPSN
XIII,Leda,,1974,C.T. Kowal,IAU WGPSN
XIV,Thebe,S/1979 J2,1979,Voyager Science Team,IAU WGPSN
XV,Adrastea,S/1979 J1,1979,Voyager Science Team,IAU WGPSN
XVI,Metis,S/1979 J3,1979,Voyager Science Team,IAU WGPSN
XVII,Callirrhoe,S/1999 J1,1999,"J.V. Scotti, T.B. Spahr, R.S. McMillan, J.A. Larsen, J. Montani, A.E. Gleason, T. Gehrels",IAUC 7460
XVIII,Themisto,S/1975 J1 = S/2000 J1,"1975, 2000","C.T. Kowal, E. Roemer (1975), S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier (2000)",IAUC 7525
XIX,Megaclite,S/2000 J8,2000,"S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier",IAUC 7555
XX,Taygete,S/2000 J9,2000,"S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier",IAUC 7555
XXI,Chaldene,S/2000 J10,2000,"S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier",IAUC 7555
XXII,Harpalyke,S/2000 J5,2000,"S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier",IAUC 7555
XXIII,Kalyke,S/2000 J2,2000,"S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier",IAUC 7555
XXIV,Iocaste,S/2000 J3,2000,"S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier",IAUC 7555
XXV,Erinome,S/2000 J4,2000,"S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier",IAUC 7555
XXVI,Isonoe,S/2000 J6,2000,"S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier",IAUC 7555
XXVII,Praxidike,S/2000 J7,2000,"S.S. Sheppard, D.C. Jewitt, Y.R. Fernandez, G. Magnier",IAUC 7555
XXVIII,Autonoe,S/2001 J1,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXIX,Thyone,S/2001 J2,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXX,Hermippe,S/2001 J3,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXXI,Aitne,S/2001 J11,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXXII,Eurydome,S/2001 J4,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXXIII,Euanthe,S/2001 J7,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXXIV,Euporie,S/2001 J10,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXXV,Orthosie,S/2001 J9,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXXVI,Sponde,S/2001 J5,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXXVII,Kale,S/2001 J8,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXXVIII,Pasithee,S/2001 J6,2001,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",MPEC 2002-J54
XXXIX,Hegemone,S/2003 J8,2003,S.S. Sheppard,IAUC 8088
XL,Mneme,S/2003 J21,2003,"B. Gladman, L. Allen",IAUC 8138
XLI,Aoede,S/2003 J7,2003,S.S. Sheppard,IAUC 8087
XLII,Thelxinoe,S/2003 J22,2003,S.S. Sheppard,IAUC 8276
XLIII,Arche,S/2002 J1,2002,S.S. Sheppard,IAUC 8035
XLIV,Kallichore,S/2003 J11,2003,S.S. Sheppard,IAUC 8089
XLV,Helike,S/2003 J6,2003,S.S. Sheppard,IAUC 8087
XLVI,Carpo,S/2003 J20,2003,S.S. Sheppard,IAUC 8125
XLVII,Eukelade,S/2003 J1,2003,S.S. Sheppard,IAUC 8087
XLVIII,Cyllene,S/2003 J13,2003,S.S. Sheppard,IAUC 8116
XLIX,Kore,S/2003 J14,2003,"S.S. Sheppard, D.C. Jewitt, J. Kleyna",IAUC 8116
L,Herse,S/2003 J17,2003,"B. Gladman, J. Kavelaars, J.-M. Petit, and L. Allen",IAUC 8116
LI,,S/2010 J1,2010,"R. Jacobson, M. Brozovic, B. Gladman, M. Alexandersen",IAUC 9222
LII,,S/2010 J2,2010,C. Veillet,IAUC 9222
LIII,Dia,S/2000 J11,2000,"S.S. Sheppard, D.C. Jewitt, Y. Fernandez, G. Magnier",IAUC 7555
LIV,,S/2016 J1,2016,S.S. Sheppard,MPEC 2017-L08
LV,,S/2003 J18,2003,B. Gladman,IAUC 8116
LVI,,S/2011 J2,2011,S.S. Sheppard,CBET 3002/IAUC 9252
LVII,Eirene,S/2003 J5,2003,"S.S. Sheppard, D.C. Jewitt, and J. Kleyna",IAUC 8087
LVIII,Philophrosyne,S/2003 J15,2003,"S.S. Sheppard, D.C. Jewitt, and J. Kleyna",IAUC 8116
LIX,,S/2017 J1,2017,S.S. Sheppard,MPEC 2017-L47
LX,Eupheme,S/2003 J3,2003,"S.S. Sheppard, D.C. Jewitt, and J. Kleyna",IAUC 8087
LXI,,S/2003 J19,2003,B. Gladman,IAUC 8125
LXII,Valetudo,S/2016 J2,2016,S.S. Sheppard,MPEC 2018-O09
LXIII,,S/2017 J2,2017,S.S. Sheppard,MPEC 2018-O10
LXIV,,S/2017 J3,2017,S.S. Sheppard,MPEC 2018-O11
LXV,Pandia,S/2017 J4,2017,S.S. Sheppard,MPEC 2018-O12
LXVI,,S/2017 J5,2017,S.S. Sheppard,MPEC 2018-O13
LXVII,,S/2017 J6,2017,S.S. Sheppard,MPEC 2018-O14
LXVIII,,S/2017 J7,2017,S.S. Sheppard,MPEC 2018-O15
LXIX,,S/2017 J8,2017,S.S. Sheppard,MPEC 2018-O16
LXX,,S/2017 J9,2017,S.S. Sheppard,MPEC 2018-O17
LXXI,Ersa,S/2018 J1,2018,S.S. Sheppard,MPEC 2018-O18
LXXII,,S/2011 J1,2011,S.S. Sheppard,CBET 3002/IAUC 9252
,,S/2003 J2,2003,S.S. Sheppard,IAUC 8087
,,S/2003 J4,2003,S.S. Sheppard,IAUC 8087
,,S/2003 J9,2003,S.S. Sheppard,IAUC 8089
,,S/2003 J10,2003,S.S. Sheppard,IAUC 8089
,,S/2003 J12,2003,S.S. Sheppard,IAUC 8089
,,S/2003 J16,2003,B. Gladman,IAUC 8116
,,S/2003 J23,2003,S.S. Sheppard,IAUC 8281
,,S/2003 J24,2003,"S.S. Sheppard, D.C. Jewitt, J. Kleyna, B.J. Gladman, C. Veillet",MPEC 2021-V333
,,S/2011 J3,2011,S.S. Sheppard,MPEC 2022-Y69
,,S/2016 J3,2016,S.S. Sheppard,MPEC 2023-A13
,,S/2016 J4,2016,S.S. Sheppard,MPEC 2023-B96
,,S/2018 J2,2018,S.S. Sheppard,MPEC 2022-Y68
,,S/2018 J3,2018,S.S. Sheppard,MPEC 2023-B38
,,S/2018 J4,2018,S.S. Sheppard,MPEC 2023-B51
,,S/2021 J1,2021,S.S. Sheppard,MPEC 2023-A14
,,S/2021 J2,2021,S.S. Sheppard,MPEC 2023-B37
,,S/2021 J3,2021,S.S. Sheppard,MPEC 2023-B39
,,S/2021 J4,2021,S.S. Sheppard,MPEC 2023-B40
,,S/2021 J5,2021,"S.S. Sheppard, D.J. Tholen, C. Trujillo",MPEC 2023-B41
,,S/2021 J6,2021,"S.S. Sheppard, D.J. Tholen, C. Trujillo",MPEC 2023-B50
,,S/2022 J1,2022,S.S. Sheppard,MPEC 2023-D44
,,S/2022 J2,2022,S.S. Sheppard,MPEC 2023-D45
,,S/2022 J3,2022,S.S. Sheppard,MPEC 2023-D46
